,fullid,AcID,Pop,Ind,genomesize,leaf3.0,leaf3.1,leaf3.2,leaf3.3,dailyavg3,leaf4.0,leaf4.1,leaf4.2,leaf4.3,dailyavg4,dailyavgall,adjcs3,adjcs4,adjavg,m3,m4,mavg,cellprod3,cellprod4,cellprodavg
1,1_1,1-Jan,1,1,6.11,1.7,6.6,11.3,17.6,5.3,5,8.3,12.5,16.4,3.8,4.55,156.9464815,140.7591507,148.8528161,228.5979474,156.9464815,192.7722144,0.033769473,0.026996469,0.030567107
2,1_11,11-Jan,1,11,5.98,1,3.7,7.6,12.7,3.9,14.8,20.6,26.3,32.2,5.8,4.85,212.0570909,187.5233729,199.7902319,213.4,212.0570909,212.7285455,0.018391274,0.030929478,0.024275461
3,1_12,12-Jan,1,12,5.94,3,6.8,11.1,16.2,4.4,7.9,12.4,17.4,22.6,4.9,4.65,203.4303889,173.2845385,188.3574637,203.221,203.4303889,203.3256944,0.02162902,0.028277191,0.024687102
4,1_14,14-Jan,1,14,5.86,7,11.3,16.3,20.5,4.5,9.3,14,20.5,26.3,5.666666667,5.083333333,188.0379394,161.868217,174.9530782,193.8833571,188.0379394,190.9606483,0.023931341,0.035007902,0.02905541
5,1_4,4-Jan,1,4,6.29,5.3,9.6,18,NA,6.35,9.6,15.2,20.7,26.5,5.633333333,5.991666667,226.9079615,174.1667662,200.5373639,206.7208077,226.9079615,216.8143846,0.027984915,0.032344479,0.029878056
6,1_5,5-Jan,1,5,5.92,9.4,10.8,12,12.5,1.033333333,4.4,7.5,11,20.4,5.333333333,3.183333333,199.7800435,145.3167907,172.5484171,178.4962632,199.7800435,189.1381533,0.005172355,0.036701425,0.018448928
7,1_6,6-Jan,1,6,5.72,3.5,7,11.5,NA,4,4.8,8.6,12.8,18,4.4,4.2,208.0182143,159.8080566,183.9131354,226.1758,208.0182143,217.0970071,0.019229085,0.02753303,0.022836868
8,1_7,7-Jan,1,7,5.91,5.8,8,10.2,11.9,2.033333333,4.5,7.8,11.1,15.1,3.533333333,2.783333333,209.6081429,183.7359744,196.6720586,181.4312593,209.6081429,195.5197011,0.009700641,0.019230493,0.014152154
9,1_8,8-Jan,1,8,6.14,4.9,7.7,11.3,14.6,3.233333333,5.4,9,14.1,19.2,4.6,3.916666667,193.7790385,147.5738438,170.6764411,182.6222258,193.7790385,188.2006321,0.016685671,0.031170835,0.022947904
10,11_2,2-Nov,11,2,5.92,7.6,9,12.6,17.9,3.433333333,12.2,19.3,26.9,32.6,6.8,5.116666667,169.0058571,143.3529485,156.1794028,172.23805,169.0058571,170.6219536,0.020314878,0.047435369,0.032761469
11,11_3,3-Nov,11,3,5.8,2.5,6.9,11.6,16.8,4.766666667,6,11.3,16.1,22.9,5.633333333,5.2,191.4195294,163.5188293,177.4691793,181.8415526,191.4195294,186.630541,0.024901674,0.034450671,0.029300862
12,11_4,4-Nov,11,4,5.8,6.4,11.3,17,21.2,4.933333333,10,16.5,22.5,30.1,6.7,5.816666667,185.9874839,160.6468875,173.3171857,201.9462258,185.9874839,193.9668548,0.026525082,0.041706379,0.033560819
13,11_6,6-Nov,11,6,5.84,2.9,6.1,9.6,13.5,3.533333333,6.5,10.6,15.5,21.8,5.1,4.316666667,191.38092,150.8526196,171.1167698,256.4238438,191.38092,223.9023819,0.018462307,0.033807832,0.025226438
14,3_2,2-Mar,3,2,6.26,7.7,9.4,14.8,17,3.1,9,13.3,21.2,24,5,4.05,193.1961,169.55148,181.37379,215.773087,193.1961,204.4845935,0.016045873,0.029489569,0.022329577
15,3_4,4-Mar,3,4,6.05,7.4,12.7,16.9,20.9,4.5,12,16.9,23.1,29.6,5.866666667,5.183333333,169.5070323,137.2339516,153.3704919,265.9072593,169.5070323,217.7071458,0.026547571,0.042749382,0.033796158
16,3_6,6-Mar,3,6,6.09,2.9,3.9,12.5,17,4.7,10,16,20.6,26.2,5.4,5.05,180.5200465,148.940094,164.7300703,193.0098,180.5200465,186.7649233,0.02603589,0.036256188,0.030656212
17,3_7,7-Mar,3,7,6.22,8.9,14.8,21,26,5.7,8.5,13.6,20.6,27.8,6.433333333,6.066666667,189.5729286,159.3184712,174.4456999,209.8845172,189.5729286,199.7287229,0.030067584,0.040380336,0.03477682
18,4_1,1-Apr,4,1,5.75,4.5,10,15.6,22.5,6,7,11.8,18.5,25.3,6.1,6.05,158.18218,139.3507737,148.7664769,162.2678261,158.18218,160.225003,0.037930948,0.043774425,0.040667764
19,4_2,2-Apr,4,2,5.92,7.5,11.3,13.4,18.6,3.7,9.6,14.5,20.5,25.5,5.3,4.5,181.9231724,139.5291071,160.7261398,174.8661429,181.9231724,178.3946576,0.020338256,0.037984906,0.027997935
20,4_4,4-Apr,4,4,6.34,4.5,8.6,13.5,18.3,4.6,8,12.5,23,35.8,9.266666667,6.933333333,136.9454167,141.7153217,139.3303692,194.43625,136.9454167,165.6908333,0.033590025,0.065389307,0.049761824
21,4_6,6-Apr,4,6,6.13,5.7,8.9,10,14.6,2.966666667,5.5,9.8,14.4,16.5,3.666666667,3.316666667,188.1024063,166.1794333,177.1409198,200.8500909,188.1024063,194.4762486,0.015771551,0.022064503,0.018723323
22,4_7,7-Apr,4,7,5.96,6,11.3,17.6,24.3,6.1,10.6,17.8,25,32.2,7.2,6.65,167.0675349,147.964125,157.5158299,203.7394348,167.0675349,185.4034848,0.036512181,0.048660444,0.042217979
23,8_1,1-Aug,8,1,5.96,6.1,9.1,13.1,16.5,3.466666667,8.3,13,16.6,24.3,5.333333333,4.4,173.7269444,166.915973,170.3214587,209.90785,173.7269444,191.8173972,0.019954686,0.031952205,0.025833504
24,8_10,10-Aug,8,10,6.01,4.1,7.5,11.5,12.7,2.866666667,8.8,14,21.2,27.5,6.233333333,4.55,188.97315,163.4052258,176.1891879,201.6517778,188.97315,195.3124639,0.015169704,0.038146475,0.025824513
25,8_11,11-Aug,8,11,5.92,3.5,7.3,13,19.4,5.3,10.6,17,23.6,30.7,6.7,6,212.6505833,171.0454074,191.8479954,233.7113182,212.6505833,223.1809508,0.024923515,0.039170885,0.03127476
26,8_12,12-Aug,8,12,5.84,3.5,6.8,11.2,16.4,4.3,7,11.9,17.7,24.1,5.7,5,216.8071667,173.4224921,195.1148294,219.1069189,216.8071667,217.9570428,0.019833293,0.032867709,0.025625935
27,8_13,13-Aug,8,13,6.05,8,13.1,17.3,21.8,4.6,6.1,10,14.9,20.2,4.7,4.65,213.9071429,177.846932,195.8770374,179.1588182,213.9071429,196.5329805,0.021504658,0.02642722,0.023739383
28,8_14,14-Aug,8,14,5.75,3.5,7.3,10.9,15.5,4,4.6,8.1,12.9,17,4.133333333,4.066666667,175.972,139.878043,157.9250215,187.9646875,175.972,181.9683438,0.022730889,0.029549551,0.025750617
29,8_15,15-Aug,8,15,6.09,2.1,6,11.3,16.6,4.833333333,10.1,17,24.4,29.9,6.6,5.716666667,198.4122813,164.9496972,181.6809892,213.2782222,198.4122813,205.8452517,0.024360051,0.040012198,0.031465409
30,8_16,16-Aug,8,16,6.13,5.1,10.3,16.5,23,5.966666667,14.1,20.8,29.5,38,7.966666667,6.966666667,218.7169167,175.96472,197.3408183,221.0654211,218.7169167,219.8911689,0.027280316,0.045274227,0.035302715
31,8_2,2-Aug,8,2,6.17,6,9.5,14,17.5,3.833333333,10.6,16,18.4,25.1,4.833333333,4.333333333,201.6545,167.5350714,184.5947857,214.18,201.6545,207.91725,0.019009411,0.028849681,0.023474841
32,8_3,3-Aug,8,3,6.55,4.7,9.2,12.5,18.2,4.5,10.6,16.7,22.6,28.9,6.1,5.3,225.8676389,157.813193,191.8404159,242.6722917,225.8676389,234.2699653,0.019923173,0.038653296,0.027627129
33,8_4,4-Aug,8,4,6.34,4.2,7,10.6,16,3.933333333,8.1,12.6,15.5,20.1,4,3.966666667,214.2795278,175.0249077,194.6522177,270.5836,214.2795278,242.4315639,0.018356086,0.02285389,0.020378225
34,8_5,5-Aug,8,5,6.43,3,5.1,7.9,11.2,2.733333333,13.6,19.5,24.6,30.5,5.633333333,4.183333333,229.2145,176.2252787,202.7198893,210.113,229.2145,219.66375,0.011924784,0.031966659,0.020636028
35,8_7,7-Aug,8,6,6.01,8.6,13.6,18.9,NA,5.15,12,17.6,25,40.8,9.6,7.375,184.0092857,156.5295854,170.2694355,154.22632,184.0092857,169.1178029,0.027987718,0.061330259,0.043313704
36,8_8a,8-8a,8,7,6.51,6.3,8,NA,10.7,1.466666667,9.2,13,18.6,27.5,6.1,3.783333333,193.5867241,168.1562955,180.8715098,172.7574483,193.5867241,183.1720862,0.007576277,0.036275775,0.020917243
37,8_8b,8-8b,8,8,6.09,2.5,4.1,7.8,12.2,3.233333333,10.1,14.1,21.1,29.4,6.433333333,4.833333333,204.7845952,152.0623983,178.4234968,209.3037,204.7845952,207.0441476,0.015788948,0.042307194,0.027089108
38,8_9,9-Aug,8,9,6.22,8.1,12,16.8,22.1,4.666666667,8.8,11.1,16.2,22.4,4.533333333,4.6,203.8242353,174.7733737,189.2988045,198.7277826,203.8242353,201.276009,0.022895544,0.025938352,0.024300206
39,a_1,A-1,a,1,5.92,2,5.9,9.9,14.7,4.233333333,7,11.5,17.5,24.1,5.7,4.966666667,158.8795405,143.0996923,150.9896164,170.007,158.8795405,164.4432703,0.026644924,0.039832371,0.032894094
