,fullid,AcID,Pop,momindex,Ind,genomesize,leaf3.0,leaf3.1,leaf3.2,leaf3.3,dailyavg3,,,,leaf4.0,leaf4.1,leaf4.2,leaf4.3,dailyavg4,dailyavgall,stom_cell1,stom_cell2,stom_cell3,stom_cell4,stom_cell5,stom_cell6,stom_cell7,stom_cell8,stom_cell9,stom_cell10,stom_cell11,stom_cell12,stom_cell13,stom_cell14,stom_cell15,stom_cell16,stom_cell17,stom_cell18,stom_cell19,stom_cell20,stom_cell21,stom_cell22,stom_cell23,stom_cell24,stom_cell25,stom_cell26,stom_cell27,stom_cell28,stom_cell29,stom_cell30,stom_cell31,stom_cell32,stom_cell33,stom_cell34,stom_cell35,stom_cell36,stom_cell37,stom_cell38,stom_cell39,stom_cell40,stom_cell41,stom_cell42,stom_cell43,stom_cell44,stom_cell45,stom_cell46,stom_cell47,stom_cell48,stom_cell49,stom_cell50,stom_cell51,stom_cell52,stom_cell53,stom_cell54,stom_cell55,stom_cell56,stom_cell57,stom_cell58,stom_cell59,stom_cell60,stom_cell61,mid_cell1,mid_cell2,mid_cell3,mid_cell4,mid_cell5,mid_cell6,mid_cell7,mid_cell8,mid_cell9,mid_cell10,mid_cell11,mid_cell12,mid_cell13,mid_cell14,mid_cell15,mid_cell16,mid_cell17,mid_cell18,mid_cell19,mid_cell20,mid_cell21,mid_cell22,mid_cell23,mid_cell24,mid_cell25,mid_cell26,mid_cell27,mid_cell28,mid_cell29,mid_cell30,mid_cell31,mid_cell32,mid_cell33,mid_cell34,mid_cell35,mid_cell36,mid_cell37,mid_cell38,mid_cell39,mid_cell40,mid_cell41,mid_cell42,mid_cell43,mid_cell44,mid_cell45,mid_cell46,mid_cell47,mid_cell48,mid_cell49,mid_cell50,mid_cell51,mid_cell52,mid_cell53,mid_cell54,mid_cell55,adj_cell1,adj_cell2,adj_cell3,adj_cell4,adj_cell5,adj_cell6,adj_cell7,adj_cell8,adj_cell9,adj_cell10,adj_cell11,adj_cell12,adj_cell13,adj_cell14,adj_cell15,adj_cell16,adj_cell17,adj_cell18,adj_cell19,adj_cell20,adj_cell21,adj_cell22,adj_cell23,adj_cell24,adj_cell25,adj_cell26,adj_cell27,adj_cell28,adj_cell29,adj_cell30,adj_cell31,adj_cell32,adj_cell33,adj_cell34,adj_cell35,adj_cell36,adj_cell37,adj_cell38,adj_cell39,adj_cell40,adj_cell41,adj_cell42,adj_cell43,adj_cell44,adj_cell45,adj_cell46,adj_cell47,adj_cell48,adj_cell49,adj_cell50,adj_cell51,adj_cell52,adj_cell53,adj_cell54,adj_cell55,adj_cell56,adj_cell57,adj_cell58,adj_cell59,adj_cell60,adj_cell61,adj_cell62,adj_cell63,adj_cell64,adj_cell65,adj_cell66,adj_cell67,adj_cell68,adj_cell69,adj_cell70,adj_cell71,adj_cell72,adj_cell73,adj_cell74,adj_cell75,adj_cell76,adj_cell77,adj_cell78,adj_cell79,adj_cell80,adj_cell81,adj_cell82,adj_cell83,adj_cell84,adj_cell85,adj_cell86,adj_cell87,adj_cell88,adj_cell89,adj_cell90,adj_cell91,adj_cell92,adj_cell93,adj_cell94,adj_cell95,adj_cell96,adj_cell97,adj_cell98,adj_cell99,adj_cell100,adj_cell101,adj_cell102,adj_cell103,adj_cell104,adj_cell105,adj_cell106,adj_cell107,adj_cell108,adj_cell109,adj_cell110,adj_cell111,adj_cell112,adj_cell113,adj_cell114,adj_cell115,adj_cell116,adj_cell117,adj_cell118,adj_cell119,adj_cell120,adj_cell121,adj_cell122,adj_cell123,adj_cell124,adj_cell125,adj_cell126,adj_cell127,adj_cell128,adj_cell129,adj_cell130,adj_cell131,adj_cell132,adj_cell133,adj_cell134,adj_cell135,adj_cell136,adj_cell137,adj_cell138,adj_cell139,adj_cell140,adj_cell141,adj_cell142,adj_cell143,adj_cell144,adj_cell145,adj_cell146,adj_cell147,adj_cell148,adj_cell149,adj_cell150,adj_cell151,adj_cell152,adj_cell153,adj_cell154,adj_cell155,adj_cell156,adj_cell157,adj_cell158,adj_cell159,adj_cell160,adj_cell161,adj_cell162,adj_cell163,adj_cell164,adj_cell165,adj_cell166,adj_cell167,adj_cell168,adj_cell169,adj_cell170,adj_cell171,adj_cell172,adj_cell173,adj_cell174,adj_cell175,adj_cell176,adj_cell177,adj_cell178,adj_cell179,adj_cell180
1,1_1,1-Jan,1,1,1,6.11,1.7,6.6,11.3,17.6,5.3,,,,5,8.3,12.5,16.4,3.8,4.55,36.168,39.474,35.088,33.911,45.416,33.911,33.753,32.296,32.691,33.753,39.905,35.361,26.958,33.911,31.254,29.567,31.254,35.361,33.338,29.819,35.572,29.24,34.13,32.197,32.197,29.567,29.819,32.461,30.737,34.13,27.778,38.264,27.816,30.14,39.474,29.819,33.657,30.702,25.238,21.979,33.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245.213,184.431,245.427,221.437,214.728,259.498,192.522,235.562,199.742,166.468,262.995,233.223,224.757,217.34,293.714,263.324,228.131,176.314,278.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275.11,145.098,158.57,218.796,158.866,221.456,205.559,208.609,192.295,186.963,204.077,226.212,147.834,178.081,210.547,230.98,237.603,110.436,166.769,213.275,179.533,199.48,204.558,162.307,154.867,187.329,80.29,150.946,139.817,182.427,128.605,137.287,183.455,250.209,206.968,239.217,132.469,154.349,217.797,194.768,240.638,150.727,113.932,163.076,115.163,165.986,121.16,167.524,183.868,190.631,220.198,219.989,136.749,148.814,194.768,140.389,127.629,114.792,176.314,144.53,210.902,235.394,174.093,206.555,148.058,189.411,186.293,157.766,130.936,221.437,154.349,219.989,241.542,130.936,133.842,132.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1_11,11-Jan,1,1,11,5.98,1,3.7,7.6,12.7,3.9,,,,14.8,20.6,26.3,32.2,5.8,4.85,36.666,36.55,32.197,35.088,38.124,33.657,33.657,27.778,30.702,33.657,35.209,32.197,30.737,35.088,39.501,29.276,29.24,33.657,41.17,32.197,27.816,32.164,30.737,27.816,27.778,40.936,32.197,30.702,33.657,26.316,36.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.772,242.761,163.906,282.179,260.337,269.022,152.054,200.554,164.062,254.537,NA,238.465,254.403,185.816,190.064,292.489,302.759,317.251,166.769,176.907,187.157,103.801,106.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.895,229.537,146.206,128.954,169.817,251.462,173.977,172.515,229.551,136.036,141.843,192.988,238.309,226.99,219.303,245.684,226.726,212.008,219.42,228.07,222.914,182.959,222.458,187.5,253.637,234.032,115.95,193.182,180.116,111.121,204.809,165.437,179.831,169.691,168.154,231.369,179.973,193.032,218.15,188.738,150.762,147.661,168.154,242.694,296.816,216.394,235.602,260.3,189.162,213.47,213.47,188.647,248.555,178.387,266.146,195.912,178.458,140.419,175.439,172.521,163.743,228.075,157.922,220.881,204.725,290.939,213.455,228.112,201.776,184.216,171.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1_12,12-Jan,1,1,12,5.94,3,6.8,11.1,16.2,4.4,,,,7.9,12.4,17.4,22.6,4.9,4.65,29.819,27.778,26.478,46.806,33.626,39.501,30.737,29.24,30.737,26.356,33.657,33.626,33.657,30.841,29.24,27.778,33.657,29.567,30.737,33.753,23.392,32.197,35.118,29.276,29.567,21.93,26.316,22.124,23.392,23.574,23.392,26.356,20.468,21.93,24.854,27.816,27.816,24.897,26.356,24.854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.57,218.937,172.849,223.091,249.246,268.087,207.19,237.77,256.328,127.629,227.667,149.094,145.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.576,235.121,245.723,189.405,180.938,228.332,135.619,223.641,188.392,241.418,228.58,166.596,118.457,179.545,100.951,219.201,207.108,227.667,112.725,157.983,104.826,148.296,182.982,135.839,220.881,195.185,177.624,242.761,186.081,165.437,321.588,150.946,251.211,124.501,162.958,156.002,230.98,202.162,128.164,166.082,177.624,175.743,176.417,240.274,176.314,208.634,190.738,224.009,157.441,135.145,146.177,176.804,198.298,208.865,195.409,213.43,211.751,237.981,209.452,153.836,198.529,204.302,227.643,359.581,187.254,213.93,217.483,279.989,200.378,151.603,149.073,187.14,159.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1_14,14-Jan,1,1,14,5.86,7,11.3,16.3,20.5,4.5,,,,9.3,14,20.5,26.3,5.666666667,5.083333333,44.248,47.148,23.437,26.356,27.778,37.274,32.691,30.737,36.666,35.572,32.461,28.387,38.459,33.753,33.911,35.572,35.209,39.905,35.572,31.254,26.958,34.13,31.254,23.574,25.238,19.062,39.501,30.841,29.24,26.356,27.816,30.841,27.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.44,212.713,222.53,143.729,161.356,127.604,208.757,265.784,287.388,184.68,208.116,145.628,237.855,223.856,171.359,159.685,238.846,225.62,136.467,201.776,168.643,156.46,171.003,160.486,126.037,130.519,130.322,196.103,169.899,149.474,290.417,250.836,191.006,251.976,173.558,206.767,196.565,204.396,304.185,233.012,123.363,215.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.534,188.687,187.414,178.847,211.14,165.211,197.563,172.818,174.473,180.542,168.103,147.726,190.866,175.536,92.522,183.035,185.88,199.603,149.187,106.815,124.578,108.276,127.495,115.58,137.458,120.319,169.748,113.339,118.997,100.101,198.147,143.974,155.308,143.543,215.647,192.322,162.938,193.524,149.987,123.233,126.755,132.558,205.429,159.618,254.781,217.797,257.646,149.581,133.842,174.277,259.271,179.878,143.081,231.456,161.058,170.821,218.796,128.862,139.081,188.959,199.174,129.656,261.038,129.186,227.178,146.381,113.716,151.159,158.064,140.723,188.602,152.3,198.583,164.16,198.281,162.603,119.937,211.14,142.182,238.64,196.826,155.659,196.69,156.132,304.992,184.911,138.055,206.187,138.542,155.143,138.92,222.914,139.012,155.411,246.591,169.993,197.807,140.358,184.356,96.502,166.827,125.807,130.117,180.305,256.915,148.534,162.34,145.002,144.175,172.273,213.44,179.223,219.25,187.329,226.212,185.69,112.488,138.202,160.859,170.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1_4,4-Jan,1,1,4,6.29,5.3,9.6,18,NA,6.35,,,,9.6,15.2,20.7,26.5,5.633333333,5.991666667,30.737,30.702,23.799,26.958,29.276,39.501,30.702,39.582,35.118,23.574,23.392,27.816,39.582,32.164,27.816,35.118,35.088,33.657,32.197,38.012,32.296,29.276,32.164,28.122,30.737,27.778,24.854,26.356,26.316,27.778,24.854,40.962,29.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.303,171.153,298.375,263.174,229.909,187.14,191.61,226.726,255.865,181.34,238.309,200.378,197.909,184.234,260.337,111.725,118.862,141.881,276.412,172.515,241.233,267.688,200.554,264.624,198.836,109.649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.92,232.571,147.661,156.678,160.925,212.235,120.026,200.298,155.143,158.138,205.012,100.877,162.702,131.652,182.772,198.965,119.919,164.271,193.121,122.816,195.912,219.474,157.902,247.093,231.161,188.596,150.698,127.403,156.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1_5,5-Jan,1,1,5,5.92,9.4,10.8,12,12.5,1.033333333,,,,4.4,7.5,11,20.4,5.333333333,3.183333333,32.691,27.931,36.666,25.025,27.931,22.364,26.679,32.691,31.013,36.579,33.911,29.276,27.931,30.14,28.387,22.696,34.411,29.567,26.679,32.854,27.778,26.478,32.296,35.361,34.411,28.122,32.461,35.572,31.254,32.197,34.411,29.819,35.118,32.461,33.338,31.254,35.149,32.984,29.819,33.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.729,168.3,194.45,185.816,159.216,199.972,163.756,117.05,231.216,149.702,139.403,232.199,203.862,125.943,91.395,195.89,234.876,260.259,194.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.038,129.07,110.822,144.53,142.722,226.358,154.508,137.497,138.055,118.862,144.345,93.04,119.15,144.175,94.125,142.564,135.01,101.395,136.35,139.511,103.005,120.319,104.826,102.151,145.334,158.442,180.542,155.508,159.685,123.864,123.51,95.13,126.418,104.058,133.394,128.206,122.056,142.797,112.488,213.44,146.177,157.189,116.611,117.697,111.887,169.37,118.646,118.646,132.751,119.275,108.434,128.03,143.081,193.524,121.776,110.126,116.244,167.747,176.925,104.458,109.376,189.636,92.395,127.888,178.638,195.185,90.62,127.888,111.821,123.363,115.608,68.026,89.755,104.304,156.951,151.18,116.125,122.824,167.287,95.433,103.832,123.311,163.2,65.382,132.389,141.269,136.913,123.51,113.518,95.936,63.944,77.706,116.611,116.244,61.072,80.873,88.929,156.951,134.392,93.258,134.836,153.836,126.418,146.177,142.564,115.163,173.065,122.406,80.873,122.824,153.836,127.386,158.866,105.04,70.722,123.397,130.764,127.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1_6,6-Jan,1,1,6,5.72,3.5,7,11.5,NA,4,,,,4.8,8.6,12.8,18,4.4,4.2,32.461,24.897,30.841,31.013,24.897,24.897,32.197,25.025,26.478,26.478,30.841,26.356,19.062,29.386,29.386,38.124,23.437,26.679,23.437,24.854,23.437,35.841,30.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.353,141.639,149.738,178.081,218.752,381.262,334.569,153.23,149.28,150.946,196.419,219.989,197.477,244.205,191.677,288.349,346.544,263.665,260.102,152.622,302.692,254.781,221.239,192.295,291.787,249.246,256.453,235.784,184.24,202.858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.159,184.651,181.534,185.073,165.405,237.225,259.691,224.538,186.293,206.756,211.099,112.269,171.85,152.895,144.729,123.311,167.287,149.502,197.866,274.375,124.054,128.206,240.465,171.196,231.982,177.401,166.654,303.802,164.173,149.838,203.862,174.296,128.03,157.583,195.677,196.026,215.156,168.966,117.697,167.287,172.453,149.28,137.962,139.924,176.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1_7,7-Jan,1,1,7,5.91,5.8,8,10.2,11.9,2.033333333,,,,4.5,7.8,11.1,15.1,3.533333333,2.783333333,27.931,21.93,22.364,30.737,27.816,36.812,21.979,23.392,26.356,30.702,22.124,17.544,23.574,23.437,26.679,23.437,20.676,38.012,25.025,30.737,28.122,33.626,27.931,24.897,21.979,23.392,26.356,29.276,36.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.394,197.634,130.191,141.11,144.53,231.11,217.856,168.287,203.406,201.839,125.739,197.504,216.69,181.499,152.075,184.263,197.417,154.998,210.851,206.27,165.728,198.836,219.537,145.209,202.093,124.964,172.614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.394,118.646,209.391,93.579,190.227,111.457,96.668,134.63,166.981,196.255,200.634,204.934,162.603,181.575,234.032,133.041,159.524,172.911,73.099,215.315,213.575,137.924,107.085,159.417,160.026,81.884,86.702,95.029,171.209,117.187,162.445,141.813,147.777,123.233,158.226,165.231,168.287,147.842,166.692,147.661,203.474,143.461,90.69,153.62,165.437,102.35,219.42,160.925,105.517,162.518,125.739,117.105,140.541,96.591,86.257,168.186,89.48,149.302,140.358,118.862,169.817,190.064,155.081,115.58,109.659,190.148,273.49,123.024,193.071,136.161,198.427,198.965,152.391,143.543,111.581,80.741,115.645,105.354,136.35,118.646,160.925,149.474,144.744,135.145,96.889,158.003,126.147,128.688,105.04,178.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1_8,8-Jan,1,1,8,6.14,4.9,7.7,11.3,14.6,3.233333333,,,,5.4,9,14.1,19.2,4.6,3.916666667,23.574,22.124,26.316,26.356,26.356,24.897,26.316,27.778,29.276,27.931,20.676,30.702,21.979,19.006,16.082,30.737,23.437,36.579,22.124,19.062,19.006,23.392,24.854,23.574,23.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.248,226.684,198.83,140.419,163.749,190.148,127.201,116.996,228.075,239.877,273.708,200.554,210.526,130.322,187.277,176.925,147.777,137.458,130.248,162.386,254.537,198.836,292.577,119.963,162.518,202.093,193.032,80.463,103.894,147.777,244.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.597,173.983,153.571,168.186,155.143,137.435,137.435,130.125,222.222,89.193,108.197,138.889,130.15,150.698,169.691,159.524,138.92,134.535,168.129,100.972,117.041,108.227,193.005,142.001,131.587,158.064,118.457,143.342,82.703,115.58,128.73,191.721,118.565,130.15,193.005,152.11,123.024,133.049,152.047,156.542,158.138,128.655,193.182,194.45,160.845,204.934,168.135,147.69,178.387,121.354,96.502,93.567,178.369,181.292,116.959,93.579,156.603,171.078,188.602,201.839,199.024,179.973,136.036,119.919,187.824,127.201,98.128,174.473,188.738,218.15,162.287,79.069,149.381,171.078,155.081,190.064,83.385,131.782,186.517,185.816,98.345,138.958,119.892,116.996,179.848,140.541,192.772,179.92,128.663,210.531,241.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,11_2,2-Nov,11,2,2,5.92,7.6,9,12.6,17.9,3.433333333,,,,12.2,19.3,26.9,32.6,6.8,5.116666667,17.544,20.52,20.52,22.124,19.229,20.468,17.544,19.062,20.932,23.392,23.437,19.062,27.816,21.93,19.229,14.693,22.364,26.356,20.468,20.932,16.346,19.505,21.93,16.148,21.93,22.124,23.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300.992,130.15,205.101,190,132.098,151,202.648,171.153,198.427,204.245,130.412,212.17,98.649,315.197,128.954,168.154,136,102.714,122.946,143.751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.327,124.407,147.429,147.726,125.807,163.39,166.468,143.275,115.608,93.04,163.076,140.541,128.688,112.659,127.193,139.265,134.574,152.3,120.026,158.064,130.117,119.919,165.366,136.248,83.794,134.789,180.418,122.842,207.015,116.959,130.191,166.724,185.696,130.125,149.381,166.827,117.105,165.308,127.327,92.117,106.975,160.985,185.954,130.412,196.565,71.876,103.842,204.245,146.381,172.669,126.147,134.63,135.461,220.934,105.911,86.307,130.781,133.242,146.316,131.652,193.182,147.777,168.287,150.649,173.016,128.954,177.504,124.818,86.566,117.105,135.01,229.909,140.837,158.57,133.169,148.015,152.496,136.467,146.666,142.294,197.807,129.186,140.837,137.924,162.702,166.294,161.356,153.23,147.081,157.766,116.419,129.326,98.486,162.958,102.433,140.473,127.73,76.709,158.327,150.84,154.203,159.685,161.144,136.161,123.51,103.595,86.566,112.81,212.492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
